ID,RT,DT,CCS,m/z,Abundance,Z,Ions,Freq.,Q Score,Sat.,Mark,RT,DT,CCS,m/z,Abundance,RSD,Freq.,Log2(A1/A2),Expression,Diff.Score,150 B2 6915.d.DeMP, 158 B2 7099.d.DeMP, 159 B2 7280.d.DeMP, 162 B2 7343.d.DeMP, 204 B3 6808.d.DeMP, 217 B3 6902.d.DeMP, 218 B3 6901.d.DeMP, 222 B3 305.d.DeMP, 247 B3 7211.d.DeMP, 303 B4 7292.d.DeMP, 304 B4 7291.d.DeMP, 305 B4 6857.d.DeMP, 130 B2 7523.d.DeMP, 131 B2 6679.d.DeMP, 89 B1 7236.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d,Blank 4.d,Blank 5.d,Blank 6.d,Blank 7.d,Blank 8.d,Blank 9.d
1,3.23,21.095,161.62,227.2004,380212,-1,5,21,100,x,FALSE,3.214,21.094,161.61,227.2001,380212,0.18,15,3.85,up,100,401505,408352,405047,407939,357946,387576,424133,419411,422069,426665,265764,185710,415294,353097,422674,210,0.001,0.001,44056,48170,53277,0.001,43898,47438
2,3.718,23.177,175.81,279.2322,371355,-1,4,19,100,x,FALSE,3.746,23.198,175.96,279.2317,371355,0.4,15,4.22,up,100,6669,426374,6156,428051,427657,429296,428950,429584,429349,430087,421992,420486,428644,428779,428249,0.001,0.001,0.001,65097,32293,39942,0.001,0.001,41705
3,2.762,28.515,212.31,476.2792,343134,-1,6,14,100,x,FALSE,2.773,28.517,212.32,476.2793,343134,0.42,13,11.09,up,100,412382,372664,383705,364029,417557,306986,414617,419090,420367,421803,0.001,0.001,395305,419860,398646,1417,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
4,4.045,23.256,176.35,281.247,342599,-1,5,16,100,x,FALSE,4.019,23.284,176.56,281.2469,342599,0.52,12,2.9,up,99.989,426464,429119,430438,430238,426653,429626,429330,0.001,430308,429976,423024,423434,0.001,0.001,430381,158545,1721,210654,0.001,0.001,0.001,0.001,0.001,42836
5,2.814,29.218,217.26,500.2803,333007,-1,4,16,100,x,FALSE,2.782,29.234,217.38,500.2797,333007,0.43,13,10.15,up,100,403340,369978,337089,394201,395844,230813,401890,415151,417333,403868,0.001,0.001,407305,416484,401814,0.001,0.001,0.001,2081,0.001,200,365,0.001,0.001
6,3.786,33.197,246.45,539.4331,329852,-1,4,17,100,x,FALSE,3.765,33.202,246.49,539.4332,329852,0.33,15,12.4,up,100,395779,421280,406856,404626,412418,220735,320563,417732,365776,370825,163510,85767,199921,369101,392887,0.001,0.001,92,0.001,459,0.001,0.001,0.001,0.001
7,4.374,23.368,177.14,283.2637,325768,-1,5,20,100,x,FALSE,4.377,23.39,177.31,283.2633,325768,0.53,13,1.45,up,99.626,426140,426020,423957,424381,3357,413136,0.001,0.001,431137,430990,281060,344223,427253,429843,425016,0.001,0.001,1832,269555,75593,153429,161578,199856,209471
8,2.872,28.224,210.45,452.2791,313058,-1,6,15,100,x,FALSE,2.872,28.224,210.45,452.2791,313058,0.44,15,16,up,100,399524,366652,335899,367178,293253,411860,404911,250652,101910,418758,92256,7144,414381,416305,415179,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
9,3.36,29.205,217.41,480.311,304482,-1,6,18,100,x,FALSE,3.381,29.214,217.47,480.3107,304482,0.54,15,9.48,up,99.999,418655,92947,380595,403170,421263,188610,411836,419587,420157,421757,144704,19017,414029,771,410129,0.001,0.001,0.001,2098,1332,0.001,413,0.001,0.001
10,2.952,29.366,218.6,480.309,298876,-1,5,16,100,x,FALSE,2.956,29.398,218.84,480.3081,298876,0.44,13,10.84,up,100,173396,372857,353438,367939,360012,358450,363197,352504,361757,341549,0.001,0.001,355162,375619,347253,0.001,0.001,0.001,784,0.001,293,394,0.001,0.001
11,2.771,22.868,169.88,505.9739,296226,-1,5,22,100,x,FALSE,2.775,22.883,169.99,505.9738,296226,0.36,15,7.95,up,100,363459,364746,322698,347973,310454,277858,332993,336339,394774,355517,59809,47426,247683,386483,295181,2327,2557,0.001,1117,0.001,725,1604,994,1485
12,3.299,23.153,175.68,277.2155,293161,-1,4,14,100,x,FALSE,3.303,23.17,175.81,277.2155,293161,0.58,12,9.05,up,99.996,414957,420580,418553,424207,324975,425612,427951,411207,0.001,238247,250295,215077,0.001,0.001,425760,0.001,2522,2441,0.001,0.001,0.001,0.001,0.001,0.001
13,0.403,17.668,136.86,187.0056,278847,-1,5,16,100,x,FALSE,0.404,17.678,136.94,187.0055,278847,0.39,15,13.05,up,100,242674,167619,285168,364630,301554,38910,350996,257382,402202,390662,166634,142499,391774,328258,351744,0.001,0.001,0.001,0.001,0.001,0.001,0.001,295,0.001
14,3.44,22.056,168.06,253.2156,277748,-1,4,16,100,x,FALSE,3.438,22.065,168.13,253.2156,277748,0.67,13,2.92,up,99.898,419389,425379,417534,2503,298505,420614,774,392812,425352,424378,396876,367494,0.001,0.001,174611,100645,109294,119725,0.001,0.001,0.001,0.001,0.001,0.001
15,2.269,22.692,168.62,498.9308,277431,-1,4,21,100,x,FALSE,2.265,22.711,168.77,498.9304,277431,0.61,13,6.48,up,99.992,407785,360038,327202,377947,384132,416877,419043,405624,406593,318650,32795,21724,0.001,0.001,283054,9096,6092,2905,1801,2137,1954,0.001,2020,1906
16,3.519,28.985,215.97,464.3157,275479,-1,5,16,100,x,FALSE,3.5,29.015,216.19,464.3157,275479,0.43,14,10.42,up,100,327276,310905,177958,264565,384775,387167,356436,392655,406598,270253,88279,0.001,199468,314593,251261,0.001,0.001,0.001,0.001,0.001,830,984,0.001,0.001
17,4.593,34.263,253.79,595.4959,275257,-1,6,18,100,x,FALSE,4.589,34.299,254.06,595.4959,275257,0.59,14,8.88,up,99.995,395849,421977,413454,418123,292378,65369,156714,373343,380098,323372,41844,48394,0.001,404896,393036,2554,1503,720,0.001,0.001,0.001,0.001,0.001,467
18,1.74,18.618,139.45,375.9999,274989,-1,1,24,96.5,x,FALSE,1.739,18.64,139.61,375.9995,274989,0.41,15,0.21,up,61.102,333416,288246,254784,328391,376107,303135,324815,380259,384772,337985,30999,31230,190299,332452,227944,373961,344178,237455,168743,192060,197647,211334,208305,207798
19,2.274,22.758,169.05,506.9578,274508,-1,5,17,100,x,FALSE,2.271,22.779,169.2,506.9574,274508,0.67,12,0.5,up,69.209,376325,391103,395198,368819,402966,385848,410562,419151,0.001,416144,85228,51172,0.001,0.001,415099,0.001,390870,360388,323805,338298,330455,0.001,0.001,0.001
