Group,Peak,ID,RT,CCS,Peak Intensity
1,123.0069,11521,0.438,117.25,156.999
1,124.0063,8796,0.365,118.57,246.999
2,201.0243,6954,1.22,140.02,480.0958059007537
2,202.0261,12106,1.184,140.3,357.999
3,201.0253,6089,0.921,139.75,701.5254586248163
3,202.0263,14722,1.072,139.87,205.22233333333327
4,202.0285,28078,1.503,139.03,134.999
4,203.027,24126,1.504,139.64,104.889
5,202.0289,26838,1.612,139.07,70.999
5,203.027,24126,1.504,139.64,104.889
6,230.0642,26488,0.438,150.51,104.999
6,231.0653,21659,0.544,149.86,148.999
7,230.9959,11575,0.446,139.99,1457.999
7,231.9946,8676,0.47,140.93,1597.999
8,241.1823,16689,1.443,161.45,595.999
8,242.1818,28221,1.455,159.37,133.999
9,279.2332,4336,3.643,277.08,1358.999
9,280.2355,11771,3.645,276.49,273.999
10,279.2341,1698,3.564,274.1,8797.999
10,280.2355,11771,3.645,276.49,273.999
11,279.2347,3360,3.598,246.88,9119.999
11,280.2361,12464,3.615,247.07,1490.999
12,280.6239,12683,0.88,150.0,994.999
12,281.1251,21146,0.759,149.31,253.999
13,281.2488,292,3.478,175.29,226292.7827455639
13,282.2501,4605,3.54,176.15,982.6759773367978
14,283.1096,783,3.225,172.83,1067.609975190141
14,284.1121,21183,3.158,173.92,398.999
15,285.2436,10119,2.384,173.83,1104.999
15,286.2464,15030,2.541,174.89,298.999
16,293.2131,8119,2.214,174.92,3051.999
16,294.2151,8812,2.404,176.39,134.7778888888889
17,306.9399,28202,1.309,177.37,3.555666666666667
17,307.1905,7558,1.321,175.99,268.55566666666664
18,313.2394,3767,2.428,179.23,8687.333444444444
18,314.2419,17123,2.409,179.6,535.999
19,313.2739,3083,3.026,183.01,2204.395838
19,314.2766,9791,3.202,184.04,477.999
20,317.1751,1029,1.372,178.43,260.999
20,318.1736,11028,1.477,178.72,347.999
21,318.9789,4360,2.591,174.68,300.0001111111111
21,319.9813,4062,2.588,174.66,339.4521456717524
22,322.2565,14691,3.12,186.76,423.999
22,323.2586,1087,2.954,184.99,5505.555666666667
23,323.1545,4156,3.208,181.51,3657.999
23,324.1553,7296,3.355,181.83,640.0728665
23,325.1532,15473,3.216,181.86,882.999
24,323.2249,10582,1.356,178.68,850.999
24,324.2265,12082,1.347,181.26,243.999
25,323.259,3010,2.864,183.84,1374.1112222222223
25,324.2618,13329,2.847,184.29,392.999
26,328.1588,9853,1.564,179.28,101.999
26,329.1602,2782,1.401,180.74,4858.999
27,329.2344,12394,1.017,181.86,1043.999
27,330.2357,13300,1.208,184.53,117.999
28,331.1904,5999,1.8,186.13,1293.999
28,332.1928,10034,1.851,183.27,229.999
29,335.2609,20347,2.289,187.91,293.999
29,336.2577,24292,2.139,187.57,176.999
30,337.1718,15598,2.086,180.35,844.2223333333334
30,338.1742,23553,2.086,180.65,214.999
31,337.2744,10775,2.744,186.33,881.999
31,338.273,2704,2.861,189.84,13436.00011111111
32,341.2698,785,2.607,189.01,6012.481709571207
32,342.2695,1309,2.425,190.05,27316.85183512065
33,341.307,10026,3.343,189.49,725.999
33,342.3099,11925,3.502,191.08,281.3276919111322
34,343.2866,9155,2.946,190.6,1364.999
34,344.2891,15717,2.91,191.09,213.999
35,349.2388,9361,1.779,185.75,822.999
35,350.2421,25656,1.668,186.24,84.999
36,349.2394,9420,1.864,186.69,861.999
36,350.2421,25656,1.668,186.24,84.999
37,349.2749,8780,3.185,191.99,297.999
37,350.2779,15543,3.051,191.81,306.999
38,349.2751,12365,3.189,189.46,274.999
38,350.2779,15543,3.051,191.81,306.999
39,349.3102,5068,3.3,195.48,377.999
39,350.3131,16209,3.196,194.76,231.999
40,351.2531,11877,1.771,185.95,401.999
40,352.2556,15108,1.778,187.79,261.999
41,355.3239,4385,3.96,194.75,608.1572102760437
41,356.3258,14861,3.961,195.22,402.999
42,355.3241,4626,3.974,195.0,8481.622826712208
42,356.3258,14861,3.961,195.22,402.999
43,357.2658,12272,1.632,189.18,626.999
43,358.2674,15663,1.774,192.89,169.999
44,365.2691,2040,2.219,195.45,8756.999
44,366.2713,5017,2.228,192.81,6424.999
45,367.361,12558,4.222,196.66,661.999
45,368.3634,19781,4.3,197.25,182.999
46,369.1749,4090,1.255,233.17,421.999
46,370.1767,15928,1.343,236.93,84.999
47,369.3029,8402,2.246,193.36,723.999
47,370.3038,14205,2.324,194.25,401.999
48,376.2286,2695,2.044,191.02,8229.999
48,377.2308,7403,1.915,193.37,338.889
49,376.2309,22718,1.949,192.65,320.2223333333333
49,377.2308,7403,1.915,193.37,338.889
50,377.3074,19250,3.489,196.53,578.999
50,378.3081,17997,3.336,198.52,101.999
51,379.3566,3960,4.172,201.12,407.3334444444442
51,380.3586,23168,4.2,201.04,204.77788888888887
52,379.3572,3315,4.149,201.75,2657.999
52,380.3586,23168,4.2,201.04,204.77788888888887
53,379.3607,12543,4.132,199.55,921.4445555555556
53,380.3586,23168,4.2,201.04,204.77788888888887
54,381.2053,3381,2.314,192.58,452.999
54,382.2049,16148,2.145,194.52,411.999
55,381.3,6577,2.573,197.25,560.889
55,382.2973,2342,2.535,198.19,25769.999
56,383.2801,5029,2.014,199.18,724.6667777777777
56,384.2795,8469,1.964,199.35,1512.4445555555556
57,383.2824,11077,2.124,196.8,516.999
57,384.2795,8469,1.964,199.35,1512.4445555555556
58,383.354,7375,4.243,203.14,299.49627354468385
58,384.3567,14624,4.211,203.67,50.210354086094185
59,383.3546,5030,4.068,206.35,4233.999
59,384.3567,14624,4.211,203.67,50.210354086094185
60,383.3548,5032,4.363,202.41,386.889
60,384.3567,14624,4.211,203.67,50.210354086094185
61,384.2261,15181,2.322,193.35,813.999
61,385.2281,15602,2.147,194.15,982.999
62,389.3432,2984,3.381,204.61,2262.999
62,390.3465,13065,3.538,204.88,686.999
63,393.3053,13372,2.649,198.31,546.999
63,394.3057,24200,2.565,199.06,109.999
64,395.28,7559,1.921,200.04,381.999
64,396.2815,13048,2.036,197.68,677.999
65,395.2811,9030,2.09,201.28,407.999
65,396.2815,13048,2.036,197.68,677.999
66,395.282,8887,2.112,197.53,543.999
66,396.2815,13048,2.036,197.68,677.999
67,396.2578,11851,2.597,200.65,245.999
67,397.2574,6604,2.409,199.63,288.999
68,397.2957,3511,2.331,211.56,806.999
68,398.2959,9878,2.36,207.67,439.999
69,397.3333,4577,2.659,201.55,1665.999
69,398.3319,16677,2.645,202.76,302.999
70,401.2905,3246,1.839,200.89,1937.999
70,402.289,18589,1.71,201.31,422.999
71,401.3424,4679,3.674,208.16,1781.999
71,402.3463,14340,3.536,211.3,147.999
72,401.3434,5416,3.351,211.76,368.999
72,402.3463,14340,3.536,211.3,147.999
73,401.3482,26560,3.718,205.97,167.33344444444447
73,402.3476,23875,3.594,207.59,290.999
74,403.3606,1089,3.511,208.4,14252.999
74,404.3597,22400,3.692,209.96,265.999
75,407.3543,4504,4.189,211.45,2198.999
